code,name,name_eng,sector,pb,roe,roe_prior,roe_jump_pp,div_yield,payout,valueup_plan,valueup_first_plan_date,residual,discount_pct,justified_pb,mcap_total
002380,KCC,KCC Corporation,Chemicals & Energy,0.5227459843219975,0.1966258650330388,0.06529178042876345,13.133408460427537,0.031512605042016806,0.07170137810048709,True,20250703.0,-1.6458499369354762,-0.8071514160166724,2.468543290267512,4090218496000
004490,세방전지,"SEBANG GLOBAL BATTERY CO.,LTD",Industrials,0.5059173832004783,0.08683576959488047,0.11530119786798941,-2.846542827310894,0.04468802698145025,0.24891978207777568,True,20251127.0,-1.6303420964685909,-0.8041374412249808,0.9341043598141522,821898000000
439260,대한조선,"DAEHAN SHIPBUILDING Co., Ltd.",Industrials,1.5864724342757797,0.2277356508050346,0.38075623866342456,-15.302058785838996,0.005494505494505495,0.03418102269619907,False,,-1.3328450973631214,-0.7362741328572866,2.903337214219448,1733037215000
023590,다우기술,DAOU TECHNOLOGY INC,Software & Internet,0.492352967321716,0.14658112778066631,0.12324207053983215,2.333905724083417,0.04591836734693878,0.15375416417527973,False,,-1.2978193617007803,-0.7268732652597619,1.7691123188498414,1696862630400
071970,HD현대마린엔진,"HD-Hyundai Marine Engine Co., Ltd.",Industrials,3.3996967483524196,0.3376917946366075,0.24492991925663438,9.27618753799731,0.0,0.0,False,,-1.2304075633145046,-0.7078265257781564,4.440096856009998,1662153255000
033240,자화전자,"JAHWA ELECTRONICS CO.,LTD",Tech Hardware & Semis,1.253606001382091,0.10599447243691434,0.04149240133276504,6.4502071104149294,0.0,0.0,False,,-1.0221875174968418,-0.6401930054312164,1.201868581900681,557421951600
009450,경동나비엔,"KYUNG DONG NAVIEN CO.,LTD",Industrials,1.1382665502930034,0.11641712908570448,0.17880051717778517,-6.238338809208069,0.012458471760797342,0.12085078955849178,False,,-0.9969415201218461,-0.6309936845774637,1.3475368232554805,877029238400
003090,대웅,"DAEWOONG CO.,LTD",Healthcare,0.7851830604365256,0.14878232179024772,0.05808840602190917,9.069391576833855,0.012586532410320957,0.04672897196261682,False,,-0.9914804893128073,-0.6289730172788619,1.7998764580766349,923876062200
007340,DN오토모티브,DN AUTOMOTIVE CORPORATION,Industrials,1.396216287127317,0.14028696024139745,0.163606865583225,-2.3319905341827543,0.020876826722338204,0.18382352941176472,False,,-0.9359008738429062,-0.6077676455474832,1.6811443134618684,2802670433500
006040,동원산업,"DONGWON INDUSTRIES CO.,LTD",Holding Companies,0.44040295954030484,0.1040338037636696,0.02692317185892177,7.711063190474782,0.032670454545454544,0.13078585238257706,True,20241127.0,-0.9031632691468907,-0.5947143975400122,1.1744660522832282,1553756828800
015760,한국전력,KOREA ELECTRIC POWER CORPORATION,Utilities & Telecom,0.403143797209679,0.1773910792751214,0.08747782425738382,8.991325501773758,0.05097520661157025,0.11584403876493125,False,,-0.897482792353515,-0.5924056308409564,2.1997157246470502,19419413329250
017960,한국카본,"HANKUK CARBON CO.,LTD",Industrials,1.8036925066161675,0.17536839725392578,0.04284616608901269,13.252223116491308,0.01580246913580247,0.15663240332843856,False,,-0.890319108873559,-0.5894752702359249,2.171446489386217,1046448841500
075580,세진중공업,"SEJIN HEAVY INDUSTRIES CO., LTD.",Industrials,2.47830831424006,0.2218270058874121,0.06044693772093025,16.138006816648186,0.022590361445783132,0.25252525252525254,True,20260331.0,-0.8513300485667961,-0.5731531727817483,2.8207573170835336,566220581760
069620,대웅제약,DAEWOONG PHARMA,Healthcare,1.223041883171274,0.19466939233042949,0.031129266702515465,16.354012562791404,0.005649717514124294,0.035248501938667604,False,,-0.8236229533341275,-0.5611611218058201,2.4411994040155505,1230494265000
005880,대한해운,KOREA LINE CORPORATION,Transport,0.297124052332876,0.08353403616033303,0.0802450715884231,0.32889645719099275,0.0,0.0,False,,-0.7596535763257485,-0.5321715342027064,0.8879589557161771,640976217240
071320,지역난방공사,KOREA DISTRICT HEATING CORPORATION,Utilities & Telecom,0.39343507683965,0.14725108368065573,0.09270301265934454,5.454807102131119,0.07873401534526854,0.2343916552459266,True,20241226.0,-0.7410203751027573,-0.5233726713467616,1.77847569913044,905457780800
317450,명인제약,"MYUNGIN PHARM.CO., LTD",Healthcare,0.7719245974522735,0.10251442729719362,0.12912373398306914,-2.660930668587552,0.03571428571428571,0.2232807383149747,True,20260327.0,-0.730903607736547,-0.5185262699197823,1.15323107301783,613200000000
077970,STX엔진,"STX Engine Co,.Ltd",Industrials,2.5694584829249236,0.2010321482107684,0.09840477811411262,10.262737009665578,0.0,0.0,False,,-0.6904421402904679,-0.49864564890397733,2.5301260079027146,881249982850
005440,현대지에프홀딩스,"HYUNDAI G.F. HOLDINGS CO., LTD.",Holding Companies,0.5969359525119766,0.10299202102913144,0.2073879894873212,-10.439596845818977,0.02304147465437788,0.11350737797956867,True,20241108.0,-0.592792882861706,-0.44721872651970374,1.1599059776374245,2387831530980
009410,태영건설,TAEYOUNG ENGINEERING & CONSTRUCTION,Construction & Real Estate,0.8573953627502228,0.10503615069266374,0.06671311778688342,3.832303290578032,0.0,0.0,False,,-0.5588841390899761,-0.42815319053385625,1.1884749676005057,520937513166
284740,쿠쿠홈시스,"CUCKOO HOMESYS CO.,LTD",Consumer Discretionary,0.4964783925325067,0.11018841744540102,0.13255895960340341,-2.2370542158002396,0.05,0.225140712945591,False,,-0.5509045593103169,-0.42357183897511885,1.2604836369975894,538495920000
