code,name,name_eng,price,shares_common,mcap_common,mcap_total,corp_code,induty_code,fiscal_month,fs_div,currency,fin_rule,net_income_parent,equity_parent,net_income_parent_prior,equity_parent_prior,dps_common,eps_reported,payout_reported_pct,valueup_plan,valueup_first_plan_date,valueup_first_preview_date,valueup_filings,is_financial,pb,roe,roe_prior,roe_jump_pp,div_yield,payout,log_pb,sector_raw,sector,justified_pb,pb_vs_justified
323410,카카오뱅크,KakaoBank Corp.,19920,477120437,9504239105040,9504239105040,1133217,64121,12,OFS,KRW,OFS totals,480280000000.0,6749866000000.0,440065000000.0,6540131000000.0,460.0,1008.0,45.64,True,20241126.0,20240807.0,4,True,1.40806337563442,0.07115400513136112,0.06728687850442139,0.3867126626939735,0.023092369477911646,0.45634920634920634,0.34221526782687284,Other,Other,0.7149342261605388,0.9695005835659052
016360,삼성증권,"SAMSUNG SECURITIES CO.,LTD",91100,89300000,8135230000000,8135230000000,104856,66121,12,CFS,KRW,standard,1007226734146.0,8068055959870.0,899037889864.0,7324213114450.0,4000.0,11279.0,35.46,True,20260320.0,,1,True,1.008325926402112,0.12484131730814486,0.12274873434393666,0.2092582964208209,0.043907793633369926,0.35464136891568404,0.008291457070801513,Other,Other,1.465274241320303,-0.31185173534918087
039490,키움증권,"KIWOOM Securities Co.,Ltd.",266000,26228316,6976732056000,6976732056000,296290,66121,12,CFS,KRW,standard,1113586445154.0,6704409812790.0,835047385103.0,5587733020894.0,11500.0,44379.0,27.05,True,20240528.0,,4,True,1.0406183766825368,0.16609760981937763,0.14944296407515154,1.6654645744226093,0.043233082706766915,0.2591315712386489,0.03981512941690227,Other,Other,2.0418769039080686,-0.4903618456671722
175330,JB금융지주,"JB FINANCIAL GROUP CO.,LTD",30150,186521824,5623632993600,5623632993600,980122,64992,12,CFS,KRW,standard,710386000000.0,5914615000000.0,677517000000.0,5580578000000.0,1140.0,3619.0,30.0,True,20240924.0,20240826.0,5,True,0.9508028829602603,0.12010688776868825,0.1214062414323391,-0.12993536636508457,0.03781094527363184,0.31500414479137884,-0.050448511359066736,Holding Companies,Holding Companies,1.399105312603754,-0.3204207900613263
377300,카카오페이,kakaopay Corp.,40650,135300622,5499970284300,5499970284300,1244601,66199,12,CFS,KRW,standard,45239190490.0,1900416647054.0,-13717997285.0,1861202678487.0,0.0,335.0,0.0,False,,,0,True,2.894086564031092,0.023804880135168873,-0.007370501581349307,3.117538171651818,0.0,0.0,1.062669539313814,Other,Other,0.0531774399303655,53.423202166573354
029780,삼성카드,"SAMSUNG CARD CO.,LTD",42450,115858891,4918209922950,4918209922950,126292,64913,12,CFS,KRW,"no NCI, NI = total NI",645923000000.0,8863284000000.0,664593000000.0,8486181000000.0,2800.0,6053.0,46.3,True,20260319.0,,1,True,0.5548970249571152,0.07287626121424068,0.07831473309372025,-0.5438471879479573,0.06595995288574794,0.46258053857591275,-0.5889727230683027,Other,Other,0.739004674147981,-0.24912920801634786
138930,BNK금융지주,BNK Financial Group Inc.,15970,306839751,4900230823470,4900230823470,858364,64992,12,CFS,KRW,standard,815002450431.0,10793081382588.0,728547763216.0,10698820606601.0,735.0,2512.0,28.12,True,20241030.0,20240731.0,5,True,0.454015924625133,0.0755115635230739,0.06809608180237155,0.7415481720702346,0.04602379461490294,0.29259554140127386,-0.7896230052891341,Holding Companies,Holding Companies,0.7758359606137534,-0.41480422708691267
088350,한화생명,"HANWHA LIFE INSURANCE CO., LTD.",5640,868530000,4898509200000,4898509200000,113058,65110,12,CFS,KRW,standard,641310000000.0,13875234000000.0,737254000000.0,11817571000000.0,0.0,693.0,0.0,False,,,0,True,0.3530397541403626,0.04621976105051634,0.062386255178834976,-1.6166494128318636,0.0,0.0,-1.0411746104283996,Other,Other,0.366450379176133,-0.03659601899149523
001450,현대해상,"HYUNDAIMARINE&FIREINSURANCECO.,LTD.",47550,85248250,4053554287500,4053554287500,164973,65121,12,CFS,KRW,standard,1019820047983.0,5157512762473.0,850533055882.0,4743378657629.0,0.0,13006.0,0.0,False,,,0,True,0.7859513828049826,0.19773485688748965,0.17930954226351875,1.84253146239709,0.0,0.0,-0.24086034240364543,Other,Other,2.4840426872598718,-0.6835998886669861
031210,서울보증보험,Seoul Guarantee Insurance Company,41300,69821598,2883631997400,2883631997400,112998,65122,12,CFS,KRW,standard,268373453742.0,5189914819617.0,213100095223.0,5170177200110.0,2865.0,3844.0,74.5,True,20250930.0,,3,True,0.5556222207155229,0.05171057003240087,0.0412171743781753,1.0493395654225572,0.06937046004842615,0.7453173777315296,-0.5876666748132764,Other,Other,0.4431905534865956,0.2536869668011277
139130,iM금융지주,"iM Financial Group Co., Ltd.",17810,158363408,2820452296480,2820452296480,878915,64992,12,CFS,KRW,standard,443903000000.0,6220133000000.0,214876000000.0,5991115000000.0,700.0,2511.0,25.3,True,20241028.0,20240829.0,4,True,0.453439226537439,0.0713655158177486,0.035865777906115975,3.549973791163262,0.039303761931499155,0.27877339705296694,-0.7908940282473335,Holding Companies,Holding Companies,0.7178903237038063,-0.3683725611483196
004800,효성,HYOSUNG CORPORATION,164200,16740407,2748774829400,2748774829400,117188,649,12,CFS,KRW,standard,329905103957.0,2443583657679.0,453157569978.0,2155683371748.0,5000.0,19734.0,25.3,True,20260320.0,,1,True,1.1248949143860625,0.135008720867922,0.21021527368861398,-7.520655282069197,0.030450669914738125,0.2533698185872099,0.1176896218588394,Other,Other,1.6073750363099555,-0.3001664894781001
085620,미래에셋생명,"MIRAE ASSET Life Insurance CO., Ltd.",19320,135180000,2611677600000,2611677600000,112332,65110,12,CFS,KRW,standard,130776431540.0,2448095130657.0,136114870311.0,2563654662740.0,0.0,1002.0,0.0,False,,,0,True,1.0668203074686478,0.053419668991745134,0.0530940739754403,0.03255950163048374,0.0,0.0,0.06468254901691546,Other,Other,0.4670771160107383,1.2840346291855607
