code,name,name_eng,price,shares_common,mcap_common,mcap_total,corp_code,induty_code,fiscal_month,fs_div,currency,fin_rule,net_income_parent,equity_parent,net_income_parent_prior,equity_parent_prior,dps_common,eps_reported,payout_reported_pct,valueup_plan,valueup_first_plan_date,valueup_first_preview_date,valueup_filings,is_financial,pb,roe,roe_prior,roe_jump_pp,div_yield,payout,log_pb,sector_raw,sector,roe_w,fitted_log_pb,residual,discount_pct,sector_adj_log_pb,residual_pooled,justified_pb,pb_vs_justified
005930,삼성전자,"SAMSUNG ELECTRONICS CO,.LTD",285500,5846278608,1669112542584000,1845634207244000,126380,264,12,CFS,KRW,standard,44260956000000.0,424313255000000.0,33621363000000.0,391687603000000.0,1668.0,6605.0,25.1,True,20260319.0,,1,False,4.349697270814696,0.1043119805437141,0.08583718949103426,1.8474791052679838,0.005842381786339754,0.25253595760787284,1.4701062497627315,Tech Hardware & Semis,Tech Hardware & Semis,0.1043119805437141,1.2381167826075006,0.23198946715523094,0.261106445719945,0.060975220909597505,1.0559839252744936,1.178353882775997,2.6913335920509422
000660,SK하이닉스,SK hynix Inc.,1862000,730492365,1360176783630000,1360176783630000,164779,2612,12,CFS,KRW,standard,42919287000000.0,120516178000000.0,19788681000000.0,73903394000000.0,3000.0,62044.0,4.9,True,20241127.0,,2,False,11.28625887580006,0.35612884271852696,0.2677641706144105,8.836467210411648,0.001611170784103115,0.04835278189671846,2.423585957065209,Tech Hardware & Semis,Tech Hardware & Semis,0.35612884271852696,2.7490153958004733,-0.3254294387352643,-0.27778286097701543,1.014454928212075,0.11210878653899181,4.6977751486340615,1.4024689387446916
402340,SK스퀘어,"SK Square Co., Ltd.",1190000,131923998,156989557620000,156989557620000,1596425,64992,12,CFS,KRW,standard,8824131000000.0,27636531000000.0,3713971000000.0,19032533000000.0,0.0,66713.0,0.0,True,20241121.0,20241030.0,3,False,5.680508802642415,0.31929228020694783,0.19513803023486154,12.41542499720863,0.0,0.0,1.7370408066511995,Holding Companies,Holding Companies,0.31929228020694783,1.374646785549183,0.36239402110201646,0.43676494615165273,1.4812593874436526,-0.2968853302027523,4.182943138002612,0.35801721783741547
009150,삼성전기,"SAMSUNG ELECTRO-MECHANICS CO.,LTD",1507000,74693696,112563399872000,114066310600000,126371,2622,12,CFS,KRW,standard,706113165450.0,9541761553956.0,679130069623.0,8789160638737.0,2350.0,9345.0,25.2,True,20260319.0,,1,False,11.95442895475713,0.07400239059183433,0.0772690473570171,-0.3266656765182771,0.001559389515593895,0.25147137506688066,2.481101833542522,Tech Hardware & Semis,Tech Hardware & Semis,0.07400239059183433,1.0562595510097539,1.424842282532768,3.1572021276581586,1.0719708046893879,2.2953520131032805,0.7547435871237897,14.839059991637155
005380,현대차,HYUNDAI MOTOR CO,353500,203466492,71925404922000,82448684509600,164742,30121,12,CFS,KRW,standard,9445987000000.0,115446507000000.0,12526691000000.0,109103398000000.0,10000.0,36088.0,27.7,True,20240828.0,,2,False,0.7141721880732174,0.08182133219500526,0.1148148566371874,-3.299352444218215,0.028288543140028287,0.2771004211926402,-0.33663118595048397,Autos,Autos,0.08182133219500526,-0.30595790770816533,-0.030673278242318636,-0.030207626410717392,-0.33663118595048397,-0.5812940855756836,0.8640220092161071,-0.17343287502461024
207940,삼성바이오로직스,"SAMSUNG BIOLOGICS CO.,LTD.",1366000,46290951,63233439066000,63233439066000,877059,211,12,CFS,KRW,standard,1784352060593.0,7451110647985.0,1083315885986.0,10904676062018.0,0.0,26628.0,0.0,False,,,0,False,8.486444780295967,0.23947464276020936,0.09934416023225943,14.013048252794992,0.0,0.0,2.1384701588282296,Healthcare,Healthcare,0.23947464276020936,1.2937951028177685,0.844675056010461,1.3272214750622537,1.4846354090615341,0.7059429112342805,3.067402708364546,1.7666549152982602
028260,삼성물산,SAMSUNG C&T CORPORATION,367000,162167581,59515502227000,59869925212000,149655,467,12,CFS,KRW,standard,2439114193252.0,49911892454122.0,2230258255124.0,31068664773795.0,2800.0,14906.0,18.8,False,,,0,False,1.1995122258093343,0.048868397356281054,0.07178481184698741,-2.291641449070636,0.007629427792915531,0.18784382128002147,0.18191499566695726,Retail & Trading,Retail & Trading,0.048868397356281054,-0.41732579182286716,0.5992407874898245,0.820735950007305,0.09556560573388992,0.1855413093511625,0.40346802310801916,1.9730044442411558
012450,한화에어로스페이스,"HANWHA AEROSPACE CO., LTD.",1021000,51563401,52646232421000,52646232421000,126566,31321,12,CFS,KRW,standard,1404962303000.0,9684906768000.0,2298945271000.0,4995124600000.0,7000.0,28530.0,25.63,True,20250604.0,20250502.0,3,False,5.4359049273400295,0.1450671995771968,0.4602378228963498,-31.5170623319153,0.0068560235063663075,0.24535576586049773,1.6930260066841576,Industrials,Industrials,0.1450671995771968,1.2983481870754792,0.3946778196086784,0.48390602847283004,0.46819447326488595,0.9718268976363666,1.7479534851313352,2.1098681821796843
034020,두산에너빌리티,"DOOSAN ENERBILITY CO., LTD.",81700,640561146,52333845628200,52333845628200,159616,29119,12,CFS,KRW,standard,84762000000.0,7785743000000.0,111365000000.0,7496562000000.0,0.0,132.0,0.0,False,,,0,False,6.721753547246551,0.01088682223392167,0.014855476417056245,-0.39686541831345756,0.0,0.0,1.9053490650256923,Industrials,Industrials,0.01088682223392167,0.49326728703263123,1.4120817779930612,3.1044911555790673,0.6805175316064209,2.195153694952026,-0.1273668147259162,-53.77476367538325
055550,신한지주,"SHINHAN FINANCIAL GROUP CO.,LTD",109300,469450239,51310911122700,51310911122700,382199,64992,12,CFS,KRW,standard,4971561000000.0,57959272000000.0,4450177000000.0,56053756000000.0,2590.0,9812.0,25.06,True,20240726.0,,4,False,0.8852925399528828,0.08577680202746508,0.0793912365123222,0.6385565515142883,0.023696248856358647,0.26396249490419893,-0.12183713497594204,Holding Companies,Holding Companies,0.08577680202746508,-0.026443709715370134,-0.0953934252605719,-0.09098476544676382,-0.377618554183489,-0.3963031613264867,0.91930410797864,-0.036997080433526675
329180,HD현대중공업,"HD HYUNDAI HEAVY INDUSTRIES CO.,LTD.",441000,104961225,46287900225000,46287900225000,1390344,31113,12,CFS,KRW,standard,1415484774000.0,9341619958000.0,621509050000.0,5704447952000.0,5661.0,15702.0,40.0,True,20241213.0,,2,False,4.955018554930598,0.15152455145510427,0.10895165583588096,4.257289561922331,0.012836734693877552,0.3605273213603363,1.6004009124632546,Industrials,Industrials,0.15152455145510427,1.337092232700416,0.26330867976283856,0.301228319814665,0.3755693790439827,0.8305478420710686,1.8382021734993899,1.6955786617843658
000270,기아,KIA CORPORATION,115400,390412998,45053659969200,45053659969200,106641,30121,12,CFS,KRW,standard,7560983000000.0,61187884000000.0,9772957000000.0,55831165000000.0,6800.0,19382.0,34.9,True,20241203.0,20240904.0,3,False,0.7363166859831269,0.12356993747324226,0.17504483383071087,-5.147489635746862,0.058925476603119586,0.35084098648230316,-0.30609497292871884,Autos,Autos,0.12356993747324226,-0.05546670043611224,-0.2506282724926066,-0.2216883623634187,-0.30609497292871884,-0.8653194863230564,1.44750529134096,-0.49132021113304003
034730,SK,SK Inc.,611000,72502703,44299151533000,44518528845500,181712,64992,12,CFS,KRW,standard,1597498000000.0,25187196000000.0,-1292684000000.0,25114591000000.0,8000.0,29000.0,27.6,True,20241028.0,,2,False,1.7675063490791114,0.06342500372014416,-0.05147143347864992,11.489643719879409,0.01309328968903437,0.27586206896551724,0.569569710906106,Holding Companies,Holding Companies,0.06342500372014416,-0.160554272341061,0.730123983247167,1.075337898855564,0.31378829169855904,0.46351692134118233,0.6069128184773613,1.912290357474204
068270,셀트리온,"Celltrion, Inc.",177400,232617176,41266287022400,41266287022400,413046,21100,12,CFS,KRW,standard,1029613370428.0,17208474471870.0,422691724154.0,17439141579252.0,750.0,4668.0,15.92,True,20250318.0,,2,False,2.398021224359913,0.059831763246130126,0.024238103821399796,3.5593659424730335,0.004227733934611048,0.16066838046272494,0.8746439074251667,Healthcare,Healthcare,0.059831763246130126,0.2159396519012547,0.658704255523912,0.932286961434478,0.2208091576584713,0.7956649689418179,0.5566932786563629,3.3076166289411404
066570,LG전자,LG ELECTRONICS INC.,209000,162884638,34042889342000,35257607181300,401731,264,12,CFS,KRW,standard,960579000000.0,23887393000000.0,367515000000.0,20994769000000.0,1350.0,5330.0,25.4,True,20241022.0,20240821.0,5,False,1.4759922600720807,0.04021280179046747,0.01750507471646866,2.270772707399881,0.00645933014354067,0.25328330206378985,0.3893304823109279,Tech Hardware & Semis,Tech Hardware & Semis,0.04021280179046747,0.8535223616911732,-0.46419187938024536,-0.37135708071998097,-1.0198005465422062,0.45817377968044515,0.28249642954633103,4.224817398373559
012330,현대모비스,"HYUNDAI MOBIS CO.,LTD",367500,89820585,33009064987500,33009064987500,164788,303,12,CFS,KRW,standard,3655790000000.0,49167565000000.0,4055642000000.0,46080922000000.0,6500.0,40861.0,15.9,True,20241119.0,20240904.0,3,False,0.6713585467879079,0.07435369231728274,0.08801130324605919,-1.3657610928776445,0.017687074829931974,0.1590758914368224,-0.39845193779610066,Autos,Autos,0.07435369231728274,-0.3507636710618635,-0.04768826673423715,-0.04656904309788723,-0.39845193779610066,-0.5868486978621978,0.7596534202167676,-0.11623046915745439
010120,LS ELECTRIC,"LS ELECTRIC CO., LTD",205500,150000000,30825000000000,30825000000000,105855,28121,12,CFS,KRW,standard,286623001987.0,2069766351526.0,238715669205.0,1838756342741.0,3000.0,9647.0,31.1,False,,,0,False,14.892985373577702,0.13848084919134868,0.12982452522727997,0.8656323964068707,0.014598540145985401,0.3109775059604022,2.7008903218027784,Industrials,Industrials,0.13848084919134868,1.2588301517142384,1.44206017008854,3.229400131376975,1.4760587883835068,2.0293171342058622,1.6559018988628404,7.99388145143452
035420,NAVER,NAVER Corporation,194700,152094369,29612773644300,29612773644300,266961,63120,12,CFS,KRW,standard,1953214734956.0,27581956984245.0,1923237257015.0,25459903574291.0,2630.0,13009.0,20.2,False,,,0,False,1.0736284470755653,0.07081494384432872,0.07553984842884692,-0.47249045845182,0.013507960965588085,0.20216773003305405,0.07104398378771343,Software & Internet,Software & Internet,0.07081494384432872,0.13466362183520092,-0.06361963804748749,-0.0616381511945413,-0.4356157639737646,-0.09068950398565023,0.7101954668347926,0.5117365531218117
298040,효성중공업,Hyosung Heavy Industries Corporation,2896000,9324548,27003891008000,27003891008000,1316245,281,12,CFS,KRW,standard,519893715256.0,2351728765101.0,222633314544.0,1908516731949.0,7500.0,55832.0,13.4,False,,,0,False,11.482570357912962,0.22106874014175357,0.11665253482826121,10.441620531349235,0.0025897790055248618,0.1343315661269523,2.440830264602737,Industrials,Industrials,0.22106874014175357,1.7543566578656604,0.6864736067370767,0.9866972900341691,1.2159987311834655,1.1469852650013264,2.8101597082999334,3.0860917349283294
267260,HD현대일렉트릭,"HD HYUNDAI ELECTRIC CO.,LTD",708000,36047135,25521371580000,25521371580000,1205851,281,12,CFS,KRW,standard,732605395230.0,2028771644117.0,501567028463.0,1501786699279.0,7100.0,20354.0,34.88,True,20241217.0,,2,False,12.579716230757892,0.3611078641375916,0.33398020418199187,2.7127659955599737,0.01002824858757062,0.34882578362975336,2.532085693844419,Industrials,Industrials,0.3604605913531132,2.5907063481395376,-0.058620654295118424,-0.056935551241236726,1.3072541604251477,0.18797026314504128,4.7673625214338,1.6387160980941098
005490,POSCO홀딩스,POSCO Holdings Inc.,311500,79241527,24683735660500,24683735660500,155319,2411,12,CFS,KRW,standard,657654060164.0,55730184535521.0,1094917125078.0,55394231301615.0,10000.0,8697.0,115.0,True,20241223.0,20240829.0,4,False,0.44291501752999246,0.011800679750931527,0.01976590520980978,-0.7965225458878255,0.03210272873194221,1.1498217776244681,-0.8143773613575759,Steel & Metals,Steel & Metals,0.011800679750931527,-0.6611015858242242,-0.1532757755333517,-0.14210689674202015,-0.8793568861077936,-0.5314583385884116,-0.11459463755099773,-4.865058845645226
000150,두산,"DOOSAN CO.,LTD",1512000,16193835,24485078520000,26810785619000,117212,26221,12,CFS,KRW,standard,75785000000.0,1559193000000.0,-226167000000.0,1480157000000.0,4000.0,4230.0,94.61,True,20260401.0,,1,False,17.195296296866392,0.04860527208626514,-0.1527993314222748,20.140460350853996,0.0026455026455026454,0.9456264775413712,2.844635875306945,Tech Hardware & Semis,Tech Hardware & Semis,0.04860527208626514,0.9038770981519161,1.940758777155029,5.964033115633374,1.435504846453811,2.850244748863702,0.39979055424083987,42.010761796307186
042660,한화오션,"Hanwha Ocean Co., Ltd.",79600,306413394,24390506162400,24390506162400,111704,3111,12,CFS,KRW,standard,1245838500547.0,6170251544059.0,528119120128.0,4858676068261.0,0.0,4007.0,0.0,False,,,0,False,3.952919259164449,0.20191048803294742,0.10869609595459664,9.321439207835077,0.0,0.0,1.3744543589009042,Industrials,Industrials,0.20191048803294742,1.6394073399669173,-0.26495298106601317,-0.2327579759701529,0.14962282548163253,0.22496030611983087,2.5424017857125456,0.5547972320419785
009540,HD한국조선해양,"HD KOREA SHIPBUILDING & OFFSHORE ENGINEERING CO., LTD.",332500,70773116,23532061070000,23532061070000,164830,64992,12,CFS,KRW,standard,2168412429000.0,13286077746000.0,1172335951000.0,11099427059000.0,12300.0,30664.0,40.11,True,20241213.0,,2,False,1.7711819484937703,0.1632093737862431,0.10562130322298106,5.758807056326202,0.03699248120300752,0.40112183668145057,0.5716470912388242,Holding Companies,Holding Companies,0.1632093737862431,0.438150933692925,0.13349615754589916,0.14281687490528538,0.31586567203127724,-0.28624716147771434,2.001510586783623,-0.11507740194369154
010130,고려아연,KOREA ZINC INC,1116000,20872969,23294233404000,23294233404000,102858,24213,12,CFS,KRW,standard,775018941540.0,10752452223922.0,300817351283.0,7143829493655.0,20000.0,42566.0,52.6,True,20241002.0,,3,False,2.166411244513611,0.07207834319093666,0.04210869696010797,2.9969646230828686,0.017921146953405017,0.4698585725696565,0.7730719941366816,Steel & Metals,Steel & Metals,0.07207834319093666,-0.299436217939556,1.0725082120762375,1.9227010682301993,0.7080924693864639,0.6018192197990064,0.7278528805970069,1.9764411219155371
042700,한미반도체,"HANMI Semiconductor CO., LTD.",243500,95312200,23208520700000,23208520700000,161383,29271,12,CFS,KRW,standard,214007548411.0,690327519537.0,152614498001.0,540887863389.0,800.0,2256.0,35.5,True,20250411.0,,5,False,33.61957917535413,0.31000871666616164,0.2821555230409034,2.785319362525823,0.0032854209445585215,0.3546099290780142,3.5151086108097487,Industrials,Industrials,0.31000871666616164,2.2879956128886834,1.2271129979210653,2.4113666833946907,2.290277077390477,1.5511309838390797,4.053194992202487,7.2945871688954735
011200,HMM,"HMM CO.,LTD",20800,943237970,19619349776000,19619349776000,164645,50112,12,CFS,KRW,standard,1878436000000.0,26569235000000.0,3782169000000.0,27853923000000.0,700.0,1951.0,35.15,True,20250122.0,,2,False,0.7384235856245014,0.0706996644803661,0.1357858639876329,-6.508619950726679,0.03365384615384615,0.35879036391594055,-0.30323765477530806,Transport,Transport,0.0706996644803661,-0.530958066048556,0.22772041127324794,0.2557341872249441,-0.14496738966492723,-0.4641025515497464,0.708584309259638,0.042111116454216724
015760,한국전력,KOREA ELECTRIC POWER CORPORATION,30250,641964077,19419413329250,19419413329250,159193,35120,12,CFS,KRW,standard,8544918000000.0,48169942000000.0,3491698000000.0,39915236000000.0,1542.0,13311.0,11.6,False,,,0,False,0.403143797209679,0.1773910792751214,0.08747782425738382,8.991325501773758,0.05097520661157025,0.11584403876493125,-0.9084619637819976,Utilities & Telecom,Utilities & Telecom,0.1773910792751214,-0.010979171428482593,-0.897482792353515,-0.5924056308409564,-0.6300231890996469,-1.8732105685145943,2.1997157246470502,-0.8167291379096886
017670,SK텔레콤,"SK TELECOM CO.,LTD",87100,214790053,18708213616300,18708213616300,159023,61220,12,CFS,KRW,standard,408410000000.0,12863103000000.0,1250155000000.0,11698627000000.0,1660.0,1825.0,86.6,True,20241024.0,,1,False,1.454409065705219,0.031750503747035225,0.10686339516594555,-7.511289141891033,0.019058553386911595,0.9095890410958904,0.3745996777173181,Utilities & Telecom,Utilities & Telecom,0.031750503747035225,-0.8848211440810246,1.2594208217983427,2.5233802312708242,0.6530384523996688,0.5072035273495259,0.16422638426473504,7.856123041476046
033780,KT&G,KT&G Corporation,174300,103810456,18094162480800,18094162480800,244455,12000,12,CFS,KRW,standard,1090072000000.0,9279560000000.0,1165727000000.0,9239171000000.0,6000.0,10220.0,57.6,True,20241107.0,20240808.0,4,False,1.949894443357228,0.11747022488135213,0.12617225073548266,-0.8702025854130533,0.03442340791738382,0.5870841487279843,0.6677752394988089,Consumer Staples,Consumer Staples,0.11747022488135213,0.27600516594617663,0.39177007355263227,0.4795974736983024,0.29970515957208843,0.15450999644764385,1.3622550105372166,0.4313725611391004
010140,삼성중공업,"SAMSUNG HEAVY INDUSTRIES CO.,LTD",20250,880000000,17820000000000,17820000000000,126478,3111,12,CFS,KRW,standard,545539601781.0,4148939309647.0,63876253559.0,3794592947059.0,0.0,639.0,0.0,False,,,0,False,4.295073673062757,0.13148893272854734,0.01683349293328216,11.465543979526519,0.0,0.0,1.4574687085051126,Industrials,Industrials,0.13148893272854734,1.216878724014079,0.24058998449103353,0.27199938889713393,0.23263717508584092,0.8385772455124025,1.5581820747185644,1.7564645638979797
