code,name,name_eng,price,shares_common,mcap_common,mcap_total,corp_code,induty_code,fiscal_month,fs_div,currency,fin_rule,net_income_parent,equity_parent,net_income_parent_prior,equity_parent_prior,dps_common,eps_reported,payout_reported_pct,valueup_plan,valueup_first_plan_date,valueup_first_preview_date,valueup_filings,is_financial
298040,효성중공업,Hyosung Heavy Industries Corporation,2896000,9324548,27003891008000,27003891008000,01316245,281,12,CFS,KRW,standard,519893715256.0,2351728765101.0,222633314544.0,1908516731949.0,7500.0,55832.0,13.4,False,,,0,False
316140,우리금융지주,Woori Financial Group Inc.,35350,736786557,26045404789950,26045404789950,01350869,64992,12,CFS,KRW,standard,3124346000000.0,36017339000000.0,3085995000000.0,34096836000000.0,1360.0,4052.0,31.96,True,20240725,20240624,5,True
267260,HD현대일렉트릭,"HD HYUNDAI ELECTRIC CO.,LTD",708000,36047135,25521371580000,25521371580000,01205851,281,12,CFS,KRW,standard,732605395230.0,2028771644117.0,501567028463.0,1501786699279.0,7100.0,20354.0,34.88,True,20241217,,2,False
096770,SK이노베이션,"SK Innovation Co., Ltd.",149200,169052788,25222675969600,25311563900800,00631518,192,12,CFS,KRW,standard,-3347850026000.0,21792075772000.0,-2259957140000.0,24641444950000.0,0.0,-21502.0,0.0,True,20241030,,1,False
005490,POSCO홀딩스,POSCO Holdings Inc.,311500,79241527,24683735660500,24683735660500,00155319,2411,12,CFS,KRW,standard,657654060164.0,55730184535521.0,1094917125078.0,55394231301615.0,10000.0,8697.0,115.0,True,20241223,20240829,4,False
000150,두산,"DOOSAN CO.,LTD",1512000,16193835,24485078520000,26810785619000,00117212,26221,12,CFS,KRW,standard,75785000000.0,1559193000000.0,-226167000000.0,1480157000000.0,4000.0,4230.0,94.61,True,20260401,,1,False
042660,한화오션,"Hanwha Ocean Co., Ltd.",79600,306413394,24390506162400,24390506162400,00111704,3111,12,CFS,KRW,standard,1245838500547.0,6170251544059.0,528119120128.0,4858676068261.0,0.0,4007.0,0.0,False,,,0,False
009540,HD한국조선해양,"HD KOREA SHIPBUILDING & OFFSHORE ENGINEERING CO., LTD.",332500,70773116,23532061070000,23532061070000,00164830,64992,12,CFS,KRW,standard,2168412429000.0,13286077746000.0,1172335951000.0,11099427059000.0,12300.0,30664.0,40.11,True,20241213,,2,False
010130,고려아연,KOREA ZINC INC,1116000,20872969,23294233404000,23294233404000,00102858,24213,12,CFS,KRW,standard,775018941540.0,10752452223922.0,300817351283.0,7143829493655.0,20000.0,42566.0,52.6,True,20241002,,3,False
042700,한미반도체,"HANMI Semiconductor CO., LTD.",243500,95312200,23208520700000,23208520700000,00161383,29271,12,CFS,KRW,standard,214007548411.0,690327519537.0,152614498001.0,540887863389.0,800.0,2256.0,35.5,True,20250411,,5,False
